tanggal ;gram ; harga 
02/01/2024;1;1.129.000,00
03/01/2024;1;1.129.000,00
04/01/2024;1;1.123.000,00
05/01/2024;1;1.125.000,00
06/01/2024;1;1.128.000,00
07/01/2024;1;1.128.000,00
08/01/2024;1;1.128.000,00
09/01/2024;1;1.121.000,00
10/01/2024;1;1.121.000,00
11/01/2024;1;1.119.000,00
12/01/2024;1;1.124.000,00
13/01/2024;1;1.131.000,00
14/01/2024;1;1.131.000,00
15/01/2024;1;1.130.000,00
16/01/2024;1;1.134.000,00
17/01/2024;1;1.121.000,00
18/01/2024;1;1.115.000,00
19/01/2024;1;1.125.000,00
20/01/2024;1;1.128.000,00
21/01/2024;1;1.128.000,00
22/01/2024;1;1.127.000,00
23/01/2024;1;1.125.000,00
24/01/2024;1;1.128.000,00
25/01/2024;1;1.124.000,00
26/01/2024;1;1.130.000,00
27/01/2024;1;1.132.000,00
28/01/2024;1;1.132.000,00
29/01/2024;1;1.133.000,00
30/01/2024;1;1.142.000,00
31/01/2024;1;1.144.000,00
01/02/2024;1;1.151.000,00
02/02/2024;1;1.142.000,00
03/02/2024;1;1.142.000,00
04/02/2024;1;1.140.000,00
05/02/2024;1;1.140.000,00
06/02/2024;1;1.130.000,00
07/02/2024;1;1.136.000,00
08/02/2024;1;1.139.000,00
09/02/2024;1;1.138.000,00
10/02/2024;1;1.135.000,00
11/02/2024;1;1.135.000,00
12/02/2024;1;1.135.000,00
13/02/2024;1;1.129.000,00
14/02/2024;1;1.114.000,00
15/02/2024;1;1.115.000,00
16/02/2024;1;1.118.000,00
17/02/2024;1;1.124.000,00
18/02/2024;1;1.124.000,00
19/02/2024;1;1.125.000,00
20/02/2024;1;1.128.000,00
21/02/2024;1;1.131.000,00
22/02/2024;1;1.133.000,00
23/02/2024;1;1.133.000,00
24/02/2024;1;1.136.000,00
25/02/2024;1;1.136.000,00
26/02/2024;1;1.135.000,00
27/02/2024;1;1.132.000,00
28/02/2024;1;1.134.000,00
29/02/2024;1;1.138.000,00
01/03/2024;1;1.142.000,00
02/03/2024;1;1.164.000,00
03/03/2024;1;1.164.000,00
04/03/2024;1;1.164.000,00
05/03/2024;1;1.179.000,00
06/03/2024;1;1.186.000,00
07/03/2024;1;1.199.000,00
08/03/2024;1;1.204.000,00
09/03/2024;1;1.208.000,00
10/03/2024;1;1.208.000,00
11/03/2024;1;1.208.000,00
12/03/2024;1;1.210.000,00
13/03/2024;1;1.200.000,00
14/03/2024;1;1.203.000,00
15/03/2024;1;1.194.000,00
16/03/2024;1;1.193.000,00
17/03/2024;1;1.193.000,00
18/03/2024;1;1.193.000,00
19/03/2024;1;1.199.000,00
20/03/2024;1;1.199.000,00
21/03/2024;1;1.219.000,00
22/03/2024;1;1.211.000,00
23/03/2024;1;1.203.000,00
24/03/2024;1;1.203.000,00
25/03/2024;1;1.203.000,00
26/03/2024;1;1.213.000,00
27/03/2024;1;1.217.000,00
28/03/2024;1;1.222.000,00
29/03/2024;1;1.249.000,00
30/03/2024;1;1.249.000,00
31/03/2024;1;1.249.000,00
01/04/2024;1;1.254.000,00
02/04/2024;1;1.256.000,00
03/04/2024;1;1.274.000,00
04/04/2024;1;1.283.000,00
05/04/2024;1;1.279.000,00
06/04/2024;1;1.299.000,00
07/04/2024;1;1.299.000,00
08/04/2024;1;1.289.000,00
09/04/2024;1;1.306.000,00
10/04/2024;1;1.306.000,00
11/04/2024;1;1.306.000,00
12/04/2024;1;1.324.000,00
13/04/2024;1;1.310.000,00
14/04/2024;1;1.310.000,00
15/04/2024;1;1.315.000,00
16/04/2024;1;1.321.000,00
17/04/2024;1;1.321.000,00
18/04/2024;1;1.335.000,00
19/04/2024;1;1.335.000,00
20/04/2024;1;1.347.000,00
21/04/2024;1;1.347.000,00
22/04/2024;1;1.343.000,00
23/04/2024;1;1.325.000,00
24/04/2024;1;1.320.000,00
25/04/2024;1;1.319.000,00
26/04/2024;1;1.319.000,00
27/04/2024;1;1.326.000,00
28/04/2024;1;1.326.000,00
29/04/2024;1;1.325.000,00
30/04/2024;1;1.325.000,00
01/05/2024;1;1.310.000,00
02/05/2024;1;1.327.000,00
03/05/2024;1;1.318.000,00
04/05/2024;1;1.313.000,00
05/05/2024;1;1.313.000,00
06/05/2024;1;1.310.000,00
07/05/2024;1;1.318.000,00
08/05/2024;1;1.308.000,00
09/05/2024;1;1.306.000,00
10/05/2024;1;1.326.000,00
11/05/2024;1;1.333.000,00
12/05/2024;1;1.333.000,00
13/05/2024;1;1.333.000,00
14/05/2024;1;1.324.000,00
15/05/2024;1;1.332.000,00
16/05/2024;1;1.354.000,00
17/05/2024;1;1.343.000,00
18/05/2024;1;1.350.000,00
19/05/2024;1;1.350.000,00
20/05/2024;1;1.356.500,00
21/05/2024;1;1.358.000,00
22/05/2024;1;1.357.000,00
23/05/2024;1;1.345.000,00
24/05/2024;1;1.325.000,00
25/05/2024;1;1.325.000,00
26/05/2024;1;1.325.000,00
27/05/2024;1;1.327.000,00
28/05/2024;1;1.333.000,00
29/05/2024;1;1.328.000,00
30/05/2024;1;1.329.000,00
31/05/2024;1;1.337.000,00
01/06/2024;1;1.336.000,00
02/06/2024;1;1.336.000,00
03/06/2024;1;1.335.000,00
04/06/2024;1;1.349.000,00
05/06/2024;1;1.336.000,00
06/06/2024;1;1.349.000,00
07/06/2024;1;1.366.000,00
08/06/2024;1;1.328.000,00
09/06/2024;1;1.328.000,00
10/06/2024;1;1.329.000,00
11/06/2024;1;1.330.000,00
12/06/2024;1;1.338.000,00
13/06/2024;1;1.341.000,00
14/06/2024;1;1.333.000,00
15/06/2024;1;1.347.000,00
16/06/2024;1;1.347.000,00
17/06/2024;1;1.344.000,00
18/06/2024;1;1.342.000,00
19/06/2024;1;1.349.000,00
20/06/2024;1;1.355.000,00
21/06/2024;1;1.371.000,00
22/06/2024;1;1.357.000,00
23/06/2024;1;1.357.000,00
24/06/2024;1;1.360.000,00
25/06/2024;1;1.325.000,00
26/06/2024;1;1.325.000,00
27/06/2024;1;1.327.000,00
28/06/2024;1;1.360.000,00
29/06/2024;1;1.365.000,00
30/06/2024;1;1.365.000,00
01/07/2024;1;1.363.000,00
02/07/2024;1;1.368.000,00
03/07/2024;1;1.365.000,00
04/07/2024;1;1.378.000,00
05/07/2024;1;1.383.000,00
06/07/2024;1;1.395.000,00
07/07/2024;1;1.395.000,00
08/07/2024;1;1.396.000,00
09/07/2024;1;1.389.000,00
10/07/2024;1;1.380.000,00
11/07/2024;1;1.386.000,00
12/07/2024;1;1.338.000,00
13/07/2024;1;1.400.000,00
14/07/2024;1;1.400.000,00
15/07/2024;1;1.399.000,00
16/07/2024;1;1.403.000,00
17/07/2024;1;1.420.000,00
18/07/2024;1;1.427.000,00
19/07/2024;1;1.419.000,00
20/07/2024;1;1.404.000,00
21/07/2024;1;1.404.000,00
22/07/2024;1;1.404.000,00
23/07/2024;1;1.404.000,00
24/07/2024;1;1.406.000,00
25/07/2024;1;1.400.000,00
26/07/2024;1;1.386.000,00
27/07/2024;1;1.396.000,00
28/07/2024;1;1.396.000,00
29/07/2024;1;1.402.000,00
30/07/2024;1;1.400.000,00
31/07/2024;1;1.412.000,00
01/08/2024;1;1.433.000,00
02/08/2024;1;1.431.000,00
03/08/2024;1;1.428.000,00
04/08/2024;1;1.428.000,00
05/08/2024;1;1.420.000,00
06/08/2024;1;1.413.000,00
07/08/2024;1;1.399.000,00
08/08/2024;1;1.399.000,00
09/08/2024;1;1.409.000,00
10/08/2024;1;1.401.000,00
11/08/2024;1;1.401.000,00
12/08/2024;1;1.401.000,00
13/08/2024;1;1.419.000,00
14/08/2024;1;1.419.000,00
15/08/2024;1;1.414.000,00
16/08/2024;1;1.404.000,00
17/08/2024;1;1.418.000,00
18/08/2024;1;1.418.000,00
19/08/2024;1;1.418.000,00
20/08/2024;1;1.419.000,00
21/08/2024;1;1.415.000,00
22/08/2024;1;1.410.000,00
23/08/2024;1;1.404.500,00
24/08/2024;1;1.420.000,00
25/08/2024;1;1.420.000,00
26/08/2024;1;1.420.000,00
27/08/2024;1;1.420.000,00
28/08/2024;1;1.410.000,00
29/08/2024;1;1.412.000,00
30/08/2024;1;1.413.000,00
31/08/2024;1;1.401.000,00
01/09/2024;1;1.401.000,00
02/09/2024;1;1.401.000,00
03/09/2024;1;1.404.000,00
04/09/2024;1;1.406.000,00
05/09/2024;1;1.409.000,00
06/09/2024;1;1.414.000,00
07/09/2024;1;1.405.000,00
08/09/2024;1;1.405.000,00
09/09/2024;1;1.398.000,00
10/09/2024;1;1.399.000,00
11/09/2024;1;1.401.000,00
12/09/2024;1;1.409.000,00
13/09/2024;1;1.429.000,00
14/09/2024;1;1.439.000,00
15/09/2024;1;1.439.000,00
16/09/2024;1;1.443.000,00
17/09/2024;1;1.444.000,00
18/09/2024;1;1.440.000,00
19/09/2024;1;1.430.000,00
20/09/2024;1;1.443.000,00
21/09/2024;1;1.455.000,00
22/09/2024;1;1.455.000,00
23/09/2024;1;1.455.000,00
24/09/2024;1;1.443.000,00
25/09/2024;1;1.463.000,00
26/09/2024;1;1.461.000,00
27/09/2024;1;1.461.000,00
28/09/2024;1;1.461.000,00
29/09/2024;1;1.461.000,00
30/09/2024;1;1.464.000,00
01/10/2024;1;1.452.000,00
02/10/2024;1;1.464.000,00
03/10/2024;1;1.469.000,00
04/10/2024;1;1.471.000,00
05/10/2024;1;1.482.000,00
06/10/2024;1;1.482.000,00
07/10/2024;1;1.478.000,00
08/10/2024;1;1.486.000,00
09/10/2024;1;1.483.000,00
10/10/2024;1;1.473.000,00
11/10/2024;1;1.481.000,00
12/10/2024;1;1.495.000,00
13/10/2024;1;1.495.000,00
14/10/2024;1;1.490.000,00
15/10/2024;1;1.488.000,00
16/10/2024;1;1.491.000,00
17/10/2024;1;1.496.000,00
18/10/2024;1;1.503.000,00
19/10/2024;1;1.514.000,00
20/10/2024;1;1.514.000,00
21/10/2024;1;1.514.000,00
22/10/2024;1;1.510.000,00
23/10/2024;1;1.521.000,00
24/10/2024;1;1.522.000,00
25/10/2024;1;1.529.000,00
26/10/2024;1;1.534.000,00
27/10/2024;1;1.534.000,00
28/10/2024;1;1.527.000,00
29/10/2024;1;1.527.000,00
30/10/2024;1;1.560.000,00
31/10/2024;1;1.567.000,00
01/11/2024;1;1.547.000,00
02/11/2024;1;1.539.000,00
03/11/2024;1;1.539.000,00
04/11/2024;1;1.539.000,00
05/11/2024;1;1.539.000,00
06/11/2024;1;1.543.000,00
07/11/2024;1;1.513.000,00
08/11/2024;1;1.527.000,00
09/11/2024;1;1.517.000,00
10/11/2024;1;1.517.000,00
11/11/2024;1;1.517.000,00
12/11/2024;1;1.482.000,00
13/11/2024;1;1.477.000,00
14/11/2024;1;1.466.000,00
15/11/2024;1;1.466.000,00
16/11/2024;1;1.468.000,00
17/11/2024;1;1.468.000,00
18/11/2024;1;1.476.000,00
19/11/2024;1;1.491.000,00
20/11/2024;1;1.498.000,00
21/11/2024;1;1.508.000,00
22/11/2024;1;1.520.000,00
23/11/2024;1;1.541.000,00
24/11/2024;1;1.541.000,00
25/11/2024;1;1.539.000,00
26/11/2024;1;1.499.000,00
27/11/2024;1;1.504.000,00
28/11/2024;1;1.513.000,00
29/11/2024;1;1.508.000,00
30/11/2024;1;1.514.000,00
01/12/2024;1;1.514.000,00
02/12/2024;1;1.509.000,00
03/12/2024;1;1.514.000,00
04/12/2024;1;1.503.000,00
05/12/2024;1;1.522.000,00
06/12/2024;1;1.514.000,00
07/12/2024;1;1.508.000,00
08/12/2024;1;1.508.000,00
09/12/2024;1;1.503.000,00
10/12/2024;1;1.517.000,00
11/12/2024;1;1.534.000,00
12/12/2024;1;1.548.000,00
13/12/2024;1;1.531.000,00
14/12/2024;1;1.517.000,00
15/12/2024;1;1.517.000,00
16/12/2024;1;1.517.000,00
17/12/2024;1;1.520.000,00
18/12/2024;1;1.520.000,00
19/12/2024;1;1.505.000,00
20/12/2024;1;1.515.000,00
21/12/2024;1;1.533.000,00
22/12/2024;1;1.533.000,00
23/12/2024;1;1.533.000,00
24/12/2024;1;1.520.000,00
25/12/2024;1;1.520.000,00
26/12/2024;1;1.520.000,00
27/12/2024;1;1.528.000,00
28/12/2024;1;1.526.000,00
29/12/2024;1;1.526.000,00
30/12/2024;1;1.530.000,00
31/12/2024;1;1.515.000,00
02/01/2025;1;1.524.000,00
03/01/2025;1;1.543.000,00
04/01/2025;1;1.539.000,00
05/01/2025;1;1.539.000,00
06/01/2025;1;1.539.000,00
07/01/2025;1;1.535.000,00
08/01/2025;1;1.541.000,00
09/01/2025;1;1.546.000,00
10/01/2025;1;1.555.000,00
11/01/2025;1;1.568.000,00
12/01/2025;1;1.568.000,00
13/01/2025;1;1.568.000,00
14/01/2025;1;1.560.000,00
15/01/2025;1;1.564.000,00
16/01/2025;1;1.577.000,00
17/01/2025;1;1.594.000,00
18/01/2025;1;1.587.000,00
19/01/2025;1;1.587.000,00
20/01/2025;1;1.585.000,00
21/01/2025;1;1.591.000,00
22/01/2025;1;1.606.000,00
23/01/2025;1;1.607.000,00
24/01/2025;1;1.608.000,00
25/01/2025;1;1.611.000,00
26/01/2025;1;1.611.000,00
27/01/2025;1;1.609.000,00
28/01/2025;1;1.597.000,00
29/01/2025;1;1.607.000,00
30/01/2025;1;1.606.000,00
31/01/2025;1;1.620.000,00
01/02/2025;1;1.624.000,00
02/02/2025;1;1.624.000,00
03/02/2025;1;1.621.000,00
04/02/2025;1;1.650.000,00
05/02/2025;1;1.663.000,00
06/02/2025;1;1.670.000,00
07/02/2025;1;1.660.000,00
08/02/2025;1;1.662.000,00
09/02/2025;1;1.662.000,00
10/02/2025;1;1.667.000,00
11/02/2025;1;1.692.000,00
12/02/2025;1;1.684.000,00
13/02/2025;1;1.692.000,00
14/02/2025;1;1.701.000,00
15/02/2025;1;1.678.000,00
16/02/2025;1;1.678.000,00
17/02/2025;1;1.671.000,00
18/02/2025;1;1.679.000,00
19/02/2025;1;1.691.000,00
20/02/2025;1;1.708.000,00
21/02/2025;1;1.707.000,00
22/02/2025;1;1.704.000,00
23/02/2025;1;1.704.000,00
24/02/2025;1;1.705.000,00
25/02/2025;1;1.707.000,00
26/02/2025;1;1.694.000,00
27/02/2025;1;1.692.000,00
28/02/2025;1;1.678.000,00
01/03/2025;1;1.672.000,00
02/03/2025;1;1.672.000,00
03/03/2025;1;1.679.000,00
04/03/2025;1;1.704.000,00
05/03/2025;1;1.709.000,00
06/03/2025;1;1.706.000,00
07/03/2025;1;1.690.000,00
08/03/2025;1;1.690.000,00
09/03/2025;1;1.690.000,00
10/03/2025;1;1.693.000,00
11/03/2025;1;1.679.000,00
12/03/2025;1;1.702.000,00
13/03/2025;1;1.714.000,00
14/03/2025;1;1.742.000,00
15/03/2025;1;1.739.000,00
16/03/2025;1;1.739.000,00
17/03/2025;1;1.741.000,00
18/03/2025;1;1.745.000,00
19/03/2025;1;1.759.000,00
20/03/2025;1;1.774.000,00
21/03/2025;1;1.779.000,00
22/03/2025;1;1.764.000,00
23/03/2025;1;1.764.000,00
24/03/2025;1;1.765.000,00
25/03/2025;1;1.759.000,00
26/03/2025;1;1.769.000,00
27/03/2025;1;1.776.000,00
28/03/2025;1;1.792.000,00
29/03/2025;1;1.806.000,00
30/03/2025;1;1.806.000,00
31/03/2025;1;1.816.000,00
01/04/2025;1;1.826.000,00
02/04/2025;1;1.819.000,00
03/04/2025;1;1.836.000,00
04/04/2025;1;1.819.000,00
05/04/2025;1;1.781.000,00
06/04/2025;1;1.781.000,00
07/04/2025;1;1.758.000,00
08/04/2025;1;1.754.000,00
09/04/2025;1;1.812.000,00
10/04/2025;1;1.846.000,00
11/04/2025;1;1.889.000,00
12/04/2025;1;1.904.000,00
13/04/2025;1;1.904.000,00
14/04/2025;1;1.896.000,00
15/04/2025;1;1.896.000,00
16/04/2025;1;1.943.000,00
17/04/2025;1;1.975.000,00
18/04/2025;1;1.965.000,00
19/04/2025;1;1.965.000,00
20/04/2025;1;1.965.000,00
21/04/2025;1;1.980.000,00
22/04/2025;1;2.039.000,00
23/04/2025;1;1.991.000,00
24/04/2025;1;1.969.000,00
25/04/2025;1;1.986.000,00
26/04/2025;1;1.965.000,00
27/04/2025;1;1.965.000,00
28/04/2025;1;1.960.000,00
29/04/2025;1;1.966.000,00
30/04/2025;1;1.965.000,00
01/05/2025;1;1.932.000,00
02/05/2025;1;1.912.000,00
03/05/2025;1;1.902.000,00
04/05/2025;1;1.902.000,00
05/05/2025;1;1.905.000,00
06/05/2025;1;1.931.000,00
07/05/2025;1;1.956.000,00
08/05/2025;1;1.953.000,00
09/05/2025;1;1.926.000,00
10/05/2025;1;1.928.000,00
11/05/2025;1;1.928.000,00
12/05/2025;1;1.905.000,00
13/05/2025;1;1.884.000,00
14/05/2025;1;1.886.000,00
15/05/2025;1;1.866.000,00
16/05/2025;1;1.891.000,00
17/05/2025;1;1.871.000,00
18/05/2025;1;1.871.000,00
19/05/2025;1;1.894.000,00
20/05/2025;1;1.871.000,00
21/05/2025;1;1.915.000,00
22/05/2025;1;1.923.000,00
23/05/2025;1;1.910.000,00
24/05/2025;1;1.930.000,00
25/05/2025;1;1.930.000,00
26/05/2025;1;1.919.000,00
27/05/2025;1;1.923.000,00
28/05/2025;1;1.895.000,00
29/05/2025;1;1.874.000,00
30/05/2025;1;1.900.000,00
31/05/2025;1;1.888.000,00
01/06/2025;1;1.888.000,00
02/06/2025;1;1.905.000,00
03/06/2025;1;1.940.000,00
04/06/2025;1;1.924.000,00
05/06/2025;1;1.938.000,00
06/06/2025;1;1.929.000,00
07/06/2025;1;1.904.000,00
08/06/2025;1;1.904.000,00
09/06/2025;1;1.904.000,00
10/06/2025;1;1.909.000,00
11/06/2025;1;1.910.000,00
12/06/2025;1;1.928.000,00
13/06/2025;1;1.951.000,00
14/06/2025;1;1.960.000,00
15/06/2025;1;1.960.000,00
16/06/2025;1;1.968.000,00
17/06/2025;1;1.950.000,00
18/06/2025;1;1.943.000,00
19/06/2025;1;1.937.000,00
20/06/2025;1;1.936.000,00
21/06/2025;1;1.942.000,00
22/06/2025;1;1.942.000,00
23/06/2025;1;1.942.000,00
24/06/2025;1;1.932.000,00
25/06/2025;1;1.932.000,00
26/06/2025;1;1.924.000,00
27/06/2025;1;1.907.000,00
28/06/2025;1;1.884.000,00
29/06/2025;1;1.884.000,00
30/06/2025;1;1.880.000,00
01/07/2025;1;1.896.000,00
02/07/2025;1;1.903.500,00
03/07/2025;1;1.911.000,00
04/07/2025;1;1.907.000,00
05/07/2025;1;1.908.000,00
06/07/2025;1;1.904.500,00
07/07/2025;1;1.901.000,00
08/07/2025;1;1.906.000,00
09/07/2025;1;1.894.000,00
10/07/2025;1;1.902.000,00
11/07/2025;1;1.906.000,00
12/07/2025;1;1.919.000,00
13/07/2025;1;1.921.500,00
14/07/2025;1;1.924.000,00
15/07/2025;1;1.914.000,00
16/07/2025;1;1.908.000,00
17/07/2025;1;1.919.000,00
18/07/2025;1;1.917.000,00
19/07/2025;1;1.927.000,00
20/07/2025;1;1.927.000,00
21/07/2025;1;1.927.000,00
22/07/2025;1;1.946.000,00
23/07/2025;1;1.970.000,00
24/07/2025;1;1.945.000,00
25/07/2025;1;1.934.000,00
26/07/2025;1;1.915.000,00
27/07/2025;1;1.914.500,00
28/07/2025;1;1.914.000,00
29/07/2025;1;1.906.000,00
30/07/2025;1;1.918.000,00
31/07/2025;1;1.901.000,00
01/08/2025;1;1.901.000,00
02/08/2025;1;1.948.000,00
03/08/2025;1;1.947.000,00
04/08/2025;1;1.946.000,00
05/08/2025;1;1.959.000,00
06/08/2025;1;1.950.000,00
07/08/2025;1;1.943.000,00
08/08/2025;1;1.959.000,00
09/08/2025;1;1.951.000,00
10/08/2025;1;1.948.000,00
11/08/2025;1;1.945.000,00
12/08/2025;1;1.924.000,00
13/08/2025;1;1.917.000,00
14/08/2025;1;1.933.000,00
15/08/2025;1;1.909.000,00
16/08/2025;1;1.896.000,00
17/08/2025;1;1.895.000,00
18/08/2025;1;1.894.000,00
19/08/2025;1;1.897.000,00
20/08/2025;1;1.890.000,00
21/08/2025;1;1.914.000,00
22/08/2025;1;1.916.000,00
23/08/2025;1;1.933.000,00
24/08/2025;1;1.929.000,00
25/08/2025;1;1.930.500,00
26/08/2025;1;1.932.000,00
27/08/2025;1;1.940.000,00
28/08/2025;1;1.944.000,00
29/08/2025;1;1.964.000,00
30/08/2025;1;1.980.000,00
31/08/2025;1;1.995.500,00
01/09/2025;1;2.011.000,00
02/09/2025;1;2.009.000,00
03/09/2025;1;2.035.000,00
04/09/2025;1;2.044.000,00
05/09/2025;1;2.042.000,00
06/09/2025;1;2.060.000,00
07/09/2025;1;2.060.000,00
08/09/2025;1;2.060.000,00
09/09/2025;1;2.086.000,00
10/09/2025;1;2.074.000,00
11/09/2025;1;2.095.000,00
12/09/2025;1;2.088.000,00
13/09/2025;1;2.095.000,00
14/09/2025;1;2.094.000,00
15/09/2025;1;2.093.000,00
16/09/2025;1;2.105.000,00
17/09/2025;1;2.115.000,00
18/09/2025;1;2.098.000,00
19/09/2025;1;2.090.000,00
20/09/2025;1;2.122.000,00
21/09/2025;1;2.122.500,00
22/09/2025;1;2.123.000,00
23/09/2025;1;2.164.000,00
24/09/2025;1;2.174.000,00
25/09/2025;1;2.171.000,00
26/09/2025;1;2.175.000,00
27/09/2025;1;2.191.000,00
28/09/2025;1;2.206.500,00
29/09/2025;1;2.222.000,00
30/09/2025;1;2.234.000,00
01/10/2025;1;2.237.000,00
02/10/2025;1;2.235.000,00
03/10/2025;1;2.235.000,00
04/10/2025;1;2.239.000,00
05/10/2025;1;2.244.500,00
06/10/2025;1;2.250.000,00
07/10/2025;1;2.284.000,00
08/10/2025;1;2.296.000,00
09/10/2025;1;2.303.000,00
10/10/2025;1;2.294.000,00
